Centreline Method
Year,Month,Day,Serial Date (num days from 0th Jan 0000),Terminus Position on flowline,Terminus position relative to most recent observation (m),Terminus change (m),Rate of Terminus Change (m/yr),Terminus Width (m),Terminus path length (m),Mean distance between nodes (m)
2015,1,3,7.3597e+05,1492.8,445.63,NaN,0,12146,22522,369.22
2015,1,15,7.3598e+05,1036.5,-10.635,-456.27,-13878,11859,20521,336.42
2015,1,27,7.3599e+05,1112.7,65.546,76.181,2317.2,11570,22995,242.05
2015,2,8,7.36e+05,790.49,-256.69,-322.24,-9801.4,12657,25215,345.42
2015,2,20,7.3602e+05,1937.4,890.21,1146.9,34885,11831,21361,220.21
2015,3,4,7.3603e+05,1518,470.83,-419.38,-12756,11976,21001,198.12
2015,3,16,7.3604e+05,1139.7,92.508,-378.32,-11507,11430,20681,191.49
2015,3,28,7.3605e+05,645.19,-401.98,-494.49,-15041,11362,20834,196.55
2015,4,9,7.3606e+05,884.89,-162.29,239.7,7290.8,11366,22526,227.54
2015,4,21,7.3608e+05,489.4,-557.78,-395.49,-12029,11017,19931,176.38
2015,5,3,7.3609e+05,147.61,-899.57,-341.79,-10396,10966,19401,168.7
2015,5,15,7.361e+05,968.22,-78.956,820.61,24960,12393,21064,191.49
2015,5,27,7.3611e+05,548.67,-498.51,-419.55,-12761,12011,23006,223.36
2015,6,8,7.3612e+05,1205.5,158.29,656.8,19978,11483,27728,304.7
2015,7,26,7.3617e+05,4144.3,3097.1,2938.8,22347,11853,28219,178.6
2015,8,7,7.3618e+05,3479.2,2432,-665.06,-20229,11503,35832,296.13
2015,8,19,7.362e+05,4573,3525.8,1093.8,33269,12281,28792,174.5
2015,8,31,7.3621e+05,3939.1,2891.9,-633.89,-19281,12423,28852,179.2
2015,9,12,7.3622e+05,3193.2,2146.1,-745.87,-22687,12500,33514,244.63
2015,10,18,7.3626e+05,3498.6,2451.4,305.35,3095.9,12400,33205,240.62
2015,11,11,7.3628e+05,2492.4,1445.3,-1006.1,-15302,13145,39529,470.58
2015,11,23,7.3629e+05,1922.1,874.88,-570.37,-17349,12795,33917,329.29
2015,12,5,7.363e+05,1381.4,334.21,-540.67,-16445,12439,34078,337.4
2015,12,17,7.3632e+05,1621.7,574.57,240.35,7310.7,12503,34649,357.21
2015,12,29,7.3633e+05,2154.2,1107,532.45,16195,12250,30624,253.09
2016,1,10,7.3634e+05,1773.9,726.74,-380.27,-11567,12213,29425,237.3
